# XJ380.img 内全部常规文件的 SHA-256 清单（101 个文件）
# 来源镜像：xhdndmm/xj380os-full-report release commit-08e49b98… 的 XJ380.img
# XJ380.img  sha256 = 14daf0fe40cb8e1bbcd24803a2fbfda28cf18a6d96d5822d37bc8d5dafcbe45e (134217728 bytes)
# XJ380.zip  sha256 = 22a9552345bf57643f5cf66bb432b6930267504283a6546b217da89deb056dae (462864064 bytes)
# 列：镜像内路径 | 字节数 | sha256 | 在完整源码包 XJ380.zip 中的同哈希路径 | 是否也存在于公开仓库 OpenXJ380(4349e4d)
路径	字节数	sha256	源码包同哈希路径	公开仓库存在
system/theme/skyglass/max_light.png	3145	716000783a043b2d2489062bab6a0b0194d980248e4cd94ae88c6b773f02ec95	graphics/window/theme/skyglass/max_light.png	是
system/theme/skyglass/min.png	826	b540e84c1a6836ce8af55851d916c6eb8e9affbc42d7dd5e43c1169ab3d8de40	graphics/window/theme/skyglass/min.png	是
system/theme/skyglass/min_light.png	2364	b8469a70f5531e4270ae0a4440de7204b607de1ff2b228d80ce9b4f6634c35bb	graphics/window/theme/skyglass/min_light.png	是
system/theme/skyglass/right.png	3159	6f96c8bff9c0836e0f2c184d99bb8762f2c8a391f012df9f9754ee10f912e8fc	graphics/window/theme/skyglass/right.png	是
system/theme/skyglass/top.png	4318	d4db327406515848fe479581d3be849999431dbf95a2fb740c93ce07c74f09c1	graphics/window/theme/skyglass/top.png	是
system/xingji.png	2350	2ae78c22a89770fca9b88cf9ce5bbcbe334688840b22680a911886a3571ad265	graphics/logo/xingji.png	是
system/xj380.png	5402	7521b28948dc29f7f854cf1248debfed5c42c7008888e385d549292503ad62ca	graphics/logo/xj380.png	是
system/xj380_2.o	62904	373eecf7061ebae1d5d3b994ff921ffaa859e1dc11ccf27befababd54047c2c9	graphics/logo/xj380_2.o	否
system/xj380_2.png	62261	401fd47e3195eab706742c5e49fe79f3fa7ad710f966e9799ac035cc10847f2f	graphics/logo/xj380_2.png	是
usr/share/terminfo/l/linux	1740	b70a4941416eb703a01b5a06fd1c914880452302b0e0b2a7dea12600607824a7	Bf/terminfo/l/linux	否
usr/share/terminfo/v/vt100	1282	779a219d6ed2ed282f9416ee04fe65f92a1c90606cf6e93a61cebfc3aa96c982	Bf/terminfo/v/vt100	否
usr/share/terminfo/x/xterm	3991	83fc979026186c5134f343b94793f1fbc58d845de1d9fbad4351ac33e3ddfa97	Bf/terminfo/x/xterm	否
usr/share/terminfo/x/xterm-256color	4071	7f27e57e318f32605466c781de06fba0ff27f212667140cde50ff65498123f84	Bf/terminfo/x/xterm-256color	否
